1, car,  90%, 1305, 612, 326, 281
2, car,  87%, 1245, 896, 336, 183
3, car,  85%, 1569, 643, 328, 261
4, car,  84%, 211, 631, 261, 203
5, car,  84%, 1024, 376, 91, 93
6, car,  83%, 1173, 481, 140, 127
7, car,  81%, 486, 871, 293, 205
8, car,  81%, 1107, 327, 69, 54
9, person,  79%, 1094, 472, 40, 72
10, person,  77%, 813, 593, 54, 108
11, person,  77%, 637, 464, 37, 86
12, car,  77%, 1172, 360, 110, 95
13, car,  76%, 886, 403, 98, 111
14, person,  76%, 1143, 389, 27, 55
15, person,  76%, 490, 626, 61, 107
16, person,  75%, 498, 797, 73, 175
17, person,  75%, 680, 741, 73, 142
18, person,  74%, 1128, 552, 50, 98
19, person,  73%, 318, 591, 40, 48
20, person,  73%, 738, 553, 45, 89
21, car,  72%, 880, 277, 43, 37
22, person,  71%, 803, 499, 39, 83
23, car,  70%, 941, 333, 55, 59
24, person,  69%, 840, 403, 33, 68
25, person,  68%, 580, 543, 47, 86
26, person,  68%, 494, 510, 45, 90
27, person,  68%, 876, 497, 39, 87
28, car,  67%, 863, 625, 199, 300
29, person,  67%, 1396, 459, 40, 47
30, person,  67%, 667, 615, 50, 92
31, person,  66%, 1855, 272, 24, 57
32, person,  65%, 1334, 454, 39, 67
33, person,  64%, 863, 313, 26, 52
34, person,  64%, 923, 309, 17, 44
35, person,  64%, 780, 296, 19, 43
36, person,  64%, 540, 649, 62, 94
37, person,  63%, 630, 565, 55, 102
38, car,  63%, 1017, 309, 57, 51
39, person,  63%, 779, 420, 33, 71
40, person,  62%, 306, 839, 88, 157
41, person,  62%, 707, 655, 62, 130
42, car,  61%, 1347, 503, 185, 145
43, person,  61%, 1244, 686, 66, 123
44, car,  61%, 910, 369, 76, 72
45, person,  59%, 0, 682, 47, 137
46, person,  59%, 1286, 471, 41, 90
47, car,  58%, 900, 225, 29, 25
48, car,  58%, 1045, 345, 65, 55
49, person,  58%, 803, 315, 21, 49
50, car,  58%, 974, 239, 35, 28
51, person,  57%, 752, 454, 35, 64
52, person,  55%, 690, 505, 30, 83
53, person,  54%, 553, 705, 64, 125
54, person,  53%, 783, 701, 61, 75
55, person,  53%, 840, 330, 18, 49
56, person,  52%, 705, 294, 21, 45
57, person,  52%, 396, 728, 67, 152
58, person,  52%, 1081, 312, 21, 40
59, person,  51%, 1605, 262, 25, 44
60, person,  49%, 869, 359, 24, 61
61, person,  49%, 755, 616, 56, 76
62, car,  49%, 944, 278, 58, 56
63, person,  46%, 1763, 345, 40, 44
64, person,  44%, 824, 438, 35, 64
65, person,  44%, 788, 368, 21, 42
66, car,  44%, 1050, 233, 33, 33
67, person,  44%, 346, 493, 42, 57
68, person,  43%, 265, 537, 48, 81
69, car,  43%, 1320, 241, 64, 40
70, person,  43%, 1818, 283, 32, 48
71, car,  41%, 598, 337, 66, 45
72, person,  41%, 480, 393, 22, 49
73, person,  41%, 540, 465, 31, 70
74, person,  40%, 719, 441, 33, 65
75, person,  40%, 1517, 247, 27, 49
76, car,  40%, 1282, 227, 32, 34
